gid;Modelo;Num. Banco;Emplazamiento;Num. Policia;Distrito;Barrio;Año Instalacion;geo_point_2d
480;MEDITERRANEO;3235;CAMÍ MONTCADA 93;;16 - BENICALAP;1 - BENICALAP;;39.49477333988577, -0.3815706471262733
483;NEOBARCINO;4219;CARRER CARTERS 20ac;;9 - JESUS;2 - L'HORT DE SENABRE;;39.45395664031893, -0.38799025304542606
491;NEOBARCINO;4209;AVINGUDA AMAT GRANELL MESADO (MILITAR) 1;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.46067593534018, -0.365890916055878
492;NEOBARCINO;4208;AVINGUDA AMAT GRANELL MESADO (MILITAR) 15;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.4597368074156, -0.3652592563579099
493;NEOBARCINO;4207;AVINGUDA AMAT GRANELL MESADO (MILITAR) 15;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.45965707983705, -0.3651881775152961
494;NEOBARCINO;4206;AVINGUDA AMAT GRANELL MESADO (MILITAR) 21ac;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.45900682723766, -0.36474695431553417
495;NEOBARCINO;4205;CARRER VILAFERMOSA 41;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.458710690350394, -0.3644975089011807
497;NEOBARCINO;4202;AVINGUDA AMAT GRANELL MESADO (MILITAR) 39;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.45768352269234, -0.36383232148465383
500;NEOBARCINO;4199;AVINGUDA AMAT GRANELL MESADO (MILITAR) 14;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.459759223165406, -0.36569271556732247
501;NEOBARCINO;4198;AVINGUDA AMAT GRANELL MESADO (MILITAR) 10;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.46010919698816, -0.36590997360937183
503;;3847;PLAÇA PINTOR SEGRELLES 5;;3 - EXTRAMURS;4 - ARRANCAPINS;;39.46405613644873, -0.38582778016436514
507;NEOBARCINO;4196;AVINGUDA AMAT GRANELL MESADO (MILITAR) 2;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.46058341906716, -0.3663042589698218
512;NEOBARCINO;4190;CARRER LLUÍS OLIAG 2;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.458819047833465, -0.36866728444028096
514;NEOBARCINO;4188;AVINGUDA DOCTOR WAKSMAN 30;;10 - QUATRE CARRERES;2 - EN CORTS;;39.45605539842755, -0.37237007384677573
521;NEOBARCINO;4180;CARRER PUIGCAMPANA 23ac;;10 - QUATRE CARRERES;2 - EN CORTS;;39.45520462200406, -0.3712783498242984
522;NEOBARCINO;4179;CARRER PUIGCAMPANA 25;;10 - QUATRE CARRERES;2 - EN CORTS;;39.45503583561583, -0.37140039040824463
523;NEOBARCINO;4177;CARRER BÈRNIA 26;;10 - QUATRE CARRERES;2 - EN CORTS;;39.454199147585406, -0.372911815353927
526;NEOBARCINO;4174;CARRER BÈRNIA 1;;10 - QUATRE CARRERES;2 - EN CORTS;;39.45465122075249, -0.37175504217047173
530;NEOBARCINO;4169;CARRERA FONTETA DE SANT LLUÍS 2ac;;10 - QUATRE CARRERES;2 - EN CORTS;;39.458557032568955, -0.37161824909978547
531;NEOBARCINO;4168;CARRER SAPADORS 28ac;;10 - QUATRE CARRERES;2 - EN CORTS;;39.45792954861567, -0.368386187111543
535;NEOBARCINO;4163;CARRER VIVONS 34ac;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.460070521212224, -0.3720554489213644
541;PIEDRA NATURAL;4156;CARRER JORGE JUAN 2ac;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.47025008880479, -0.3700953313972943
542;PIEDRA NATURAL;4155;CARRER SORNÍ 2ac;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.47025422926725, -0.370138245990856
545;NEOBARCINO;4152;CARRER COMTE DE SALVATIERRA 25;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.46935871317516, -0.3678771439709098
546;NEOBARCINO;4149;CARRER CIRIL AMORÓS 68;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.46893528061044, -0.3674882240338676
547;NEOBARCINO;4148;CARRER CIRIL AMORÓS 65;;2 - L'EIXAMPLE;2 - EL PLA DEL REMEI;;39.469049162907936, -0.3675727135983792
550;NEOBARCINO;4280;PLAÇA MARE DE DÉU DEL LEPANT 26;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.42999908067533, -0.3634211183203899
557;ROMANTICO;4272;CARRER GLÒRIA 2;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.423975857075774, -0.3638060155529084
562;NEOBARCINO;4266;CARRER GLÒRIA 63;;19 - POBLATS DEL SUD;2 - CASTELLAR-L'OLIVERAL;;39.42142527608851, -0.3644215824554608
564;mediterraneo;4264;AVINGUDA PLATA 71;;10 - QUATRE CARRERES;1 - MONT-OLIVET;;39.45661168184099, -0.36382507315309515
568;;4259;CARRER PERE III EL GRAN 15;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.462647353807625, -0.36899898599275793
569;;4258;CARRER PERE III EL GRAN 14;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.462440897316746, -0.36967946215381714
572;;4254;CARRER PINTOR SALVADOR ABRIL 30;;2 - L'EIXAMPLE;1 - RUSSAFA;;39.4623535109321, -0.3699940855076329
574;MEDITERRANEO;3204;PLAÇA SANT JERONI 7ac;;15 - RASCANYA;2 - TORREFIEL;;39.497781297440454, -0.3744786536418992
577;MEDITERRANEO;3201;PLAÇA SANT JERONI 7ac;;15 - RASCANYA;2 - TORREFIEL;;39.49782269215106, -0.3745403447501444
579;MEDITERRANEO;3198;PLAÇA MÚSIC ESPÍ 1;;15 - RASCANYA;2 - TORREFIEL;;39.49734561864663, -0.3746409280660396
580;MEDITERRANEO;3197;PLAÇA SANT JERONI 6;;15 - RASCANYA;2 - TORREFIEL;;39.49758053340378, -0.37445719644591824
583;MEDITERRANEO;3194;CARRER MONT CARMEL 30;;15 - RASCANYA;2 - TORREFIEL;;39.49754845328598, -0.3746717729898562
593;MEDITERRANEO;3182;CARRER FRAY FRANCISCO CABEZAS 20;;15 - RASCANYA;2 - TORREFIEL;;39.497488430183196, -0.37268425646920766
595;MEDITERRANEO;3180;CARRER FRAY FRANCISCO CABEZAS 20;;15 - RASCANYA;2 - TORREFIEL;;39.497439792033425, -0.3724602912275589
596;MEDITERRANEO;3179;CARRER FRAY FRANCISCO CABEZAS 20;;15 - RASCANYA;2 - TORREFIEL;;39.49740046676984, -0.3723007000850746
600;MADERA;3092;CARRER ENGINYER VICENT PICHÓ 4;;14 - BENIMACLET;2 - CAMI DE VERA;;39.4891692702699, -0.3563392043667769
603;MADERA;3089;CARRER ENGINYER ALBERTO OÑATE 3ac;;14 - BENIMACLET;2 - CAMI DE VERA;;39.488846352836156, -0.3561916829615915
604;MEDITERRANEO;3088;CARRER ENGINYER ALBERTO OÑATE 3ac;;14 - BENIMACLET;2 - CAMI DE VERA;;39.48913822045416, -0.3561755887013736
608;MADERA;3083;AVINGUDA VALLADOLID 33ac;;14 - BENIMACLET;1 - BENIMACLET;;39.488717104401104, -0.3576465119559862
611;PIEDRA;3080;AVINGUDA VALLADOLID 42ac;;14 - BENIMACLET;1 - BENIMACLET;;39.48865086416048, -0.3574882617513783
613;PIEDRA;3077;AVINGUDA VALLADOLID 35;;14 - BENIMACLET;1 - BENIMACLET;;39.48868605447343, -0.35739170217502514
622;MADERA;3067;CARRER MÚSIC HIPÒLIT MARTÍNEZ 16;;14 - BENIMACLET;2 - CAMI DE VERA;;39.48435295710512, -0.35386188713049654
630;NEOBARCINO;3911;AVINGUDA ESTACIÓ 9;;18 - POBLATS DE L'OEST;1 - BENIMAMET;;39.501689818407634, -0.4204346451782197
632;NEOBARCINO;3909;CARRER ARQUITECTE GILABERT 5;;18 - POBLATS DE L'OEST;1 - BENIMAMET;;39.50254639074032, -0.41684974199061864
633;NEOBARCINO;3908;CARRER TORRETA DE MIRAMAR 15ac;;15 - RASCANYA;3 - SANT LLORENS;;39.488614207498095, -0.36409692530292925
636;BANCO NEOBARCINO;3905;CARRER VINARÒS 10ac;;14 - BENIMACLET;1 - BENIMACLET;;39.487251617918915, -0.36586396439886937
638;BANCO NEOBARCINO;3903;CARRER MURTA 36ac;;14 - BENIMACLET;1 - BENIMACLET;;39.485662520057076, -0.35405751666762525
