"Barrio"	"Distrito"	"Indice_Vuln"	"Areas de barrios"	"Zones verd"	"Densitat_p"	"turismes_e"	"atur_16_64"	"renda_mitj"	"risc_pobre"	"Index_Equi"	"Index_Soci"	"Index_Glob"	"Num_bancos"	"Precio_2022 (Euros/m2) de compra"	"Precio_2010 (Euros/m2) de compra"	"Precio_2022 (Euros/m2) de alquiler"	"Precio_2010 (Euros/m2) de alquiler"	"Importe Recibos personalidad F"	"Importe Recibos personalidad J"	"Importe Recibos sin personalidad"	"Imp.Recibos Actv.Almacen-Estacionamiento"	"Imp. Recibos Actv. Comercial"	"Imp. Recibos Actv. Cultural"	"Imp. Recibos Actv. Deportiva"	"Imp.Recibos Actv.Edificio singular"	"Imp. Recibos Actv. Espectaculos"	"Imp. Recibos Actv. Industrial"	"Imp.Recibos Actv.Obras urbanizacion"	"Imp.Recibos Actv.Ocio y Hosteleria"	"Imp. Recibos Actv. Oficinas"	"Imp. Recibos Actv. Religiosas"	"Imp. Recibos Actv. Residencial"	"Imp.Recibos Actv.Sanidad y Beneficiencia"	"Importe Recibos totales"
"58"	"LES CASES DE BARCENA"	"POBLATS DEL NORD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	77420.92	8723.41	341.73	4336.8	8480.52	0	0	0	0	18508.92	5843.66	413.15	717.413333333333	0	48185.59	0	86486.06
"59"	"LES TENDETES"	"CAMPANAR"	"No Vulnerable"	258209.17188	1312	136517.09	11.78	56.08	11610.4	25.24	3.29	2.95	3.1	61	1626	2455	9	9.2	893684.24	372298.99	6285.56	67783.36	104828.86	4672.09	3903.38	245402.67	0	918.02	11103.86	0	4353.21	0	826081.93	3221.41	1272268.79
"60"	"MAHUELLA-TAULADELLA"	"POBLATS DEL NORD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14482.14	511.72	0	389.536666666667	0	193.93	0	0	0	221.673333333333	93.6033333333333	0	0	0	14122.04	0	14993.86
"61"	"MALILLA"	"QUATRE CARRERES"	"No Vulnerable"	2507300.75	5407	390449.78	11.59	163.39	10842.93	18.69	2.86	2.97	3.04	104	1999	1166	8.7	7.1	3803337.97	2503032.28	47905.59	341655.69	458831.95	156367.83	47416.9	11445.74	1856.44	150007.67	238560.7	1959.11	36038.08	0	3288256.17	1621879.56	6354275.84
"62"	"MARXALENES"	"LA SAIDIA"	"Pot. Vulnerable"	390365.9375	1996	291861.55	12.37	109.94	10318	27.02	3.35	2.43	2.84	43	1877	1755	7.8	6.2	1539175.27	156508.28	8877.56	132619.15	177502.92	178.97	1121.67	97.3266666666667	0	20668.62	17148.41	7785.14	19975.03	0	1327102.4	458.8	1704561.11
"63"	"MASSARROJOS"	"POBLATS DEL NORD"	"No Vulnerable"	NA	865	843.42	9.67	5.64	16404	9.7	1.38	4.19	3.05	23	NA	NA	NA	NA	657888.68	76180.57	10869.43	22222.62	1443.47	0	0	144.52	0	10411.44	43998.12	0	247.6	0	666470.91	0	744938.68
"64"	"MESTALLA"	"EL PLA DEL REAL"	"Pot. Vulnerable"	843587.875	3732	284202.89	11.49	79.18	16292.9	16.72	2.91	3.93	3.26	140	2907	2098	9.7	6.9	4370797.34	3118298.44	221585.05	676910.45	599826.81	96325.41	260825.63	186878.29	0	46479.9	50018.22	535621.52	1285741.01	8565.57	3955769.92	7718.1	7710680.83
"65"	"MONTOLIVET"	"QUATRE CARRERES"	"Vulnerable"	473256.3125	1229	631822.39	12.49	171.77	10884.64	26.23	3	2.76	2.74	32	1886	1166	8.2	7.1	3024223.25	297885.25	41263.97	260434.24	298293.03	4935.77	4130.3	307.02	0	32847.4	2824.33	11252.52	40880.28	185.97	2674668.42	32613.19	3363372.47
"66"	"MORVEDRE"	"LA SAIDIA"	"No Vulnerable"	428184.84375	1713	243764.8	12.07	86.92	11451.21	24.89	3.42	2.93	3.06	40	1850	1755	7.8	6.2	1593518.83	214771.74	17713.44	141260.72	234340.46	9022.99	407.79	0	0	30752.23	10820.08	574.356666666667	19900.74	0	1377740.08	1011.49	1826004.01
"67"	"NA ROVELLA"	"QUATRE CARRERES"	"Vulnerable"	540119.625	3504	89521.77	15.06	127.92	7480.67	39.08	3.1	1.54	2.52	33	1501	1166	8.2	7.1	768590.95	280030.68	2733.78	18026.21	42843.66	5735.64	0	0	0	4970.16	2838.85	112140.96	16028.88	1126.17	800017.03	47627.85	1051355.41
